Trial,Games Won,Ratio
50000,25087,0.50174
100000,50256,0.50256
150000,75303,0.50202
200000,100284,0.50142
250000,125134,0.500536
300000,150123,0.50041
350000,175363,0.501037142857
400000,200565,0.5014125
450000,225799,0.501775555556
500000,250963,0.501926
550000,276105,0.502009090909
600000,300980,0.501633333333
650000,325779,0.501198461538
700000,350209,0.500298571429
750000,374513,0.499350666667
800000,397576,0.49697
850000,420217,0.494372941176
900000,440501,0.489445555556
950000,457595,0.481678947368
1000000,470049,0.470049
