Trial,Games Won,Ratio
500000,245928,0.491856
1000000,489259,0.489259
1500000,729369,0.486246
2000000,966545,0.4832725
2500000,1201007,0.4804028
3000000,1433679,0.477893
3500000,1666495,0.476141428571
4000000,1899847,0.47496175
4500000,2135460,0.474546666667
5000000,2376011,0.4752022
5500000,2625083,0.477287818182
6000000,2882948,0.480491333333
6500000,3151463,0.484840461538
7000000,3432074,0.490296285714
7500000,3724702,0.496626933333
8000000,4021835,0.502729375
8500000,4325104,0.508835764706
9000000,4625600,0.513955555556
9500000,4921104,0.518010947368
10000000,5421101,0.5421101
