Trial,Games Won,Ratio
25000,12379,0.49516
50000,24613,0.49226
75000,36528,0.48704
100000,48412,0.48412
125000,60078,0.480624
150000,71584,0.477226666667
175000,83202,0.47544
200000,94928,0.47464
225000,106650,0.474
250000,118518,0.474072
275000,130811,0.475676363636
300000,143588,0.478626666667
325000,156813,0.482501538462
350000,170698,0.487708571429
375000,185535,0.49476
400000,200344,0.50086
425000,215036,0.505967058824
450000,229114,0.509142222222
475000,245203,0.516216842105
500000,245203,0.490406
